"rental_id","rental_date","rental_month","customer_id","customer_name","total_rents","active","city","country","film_id","film_title","category","length","inventory_id","store_id","staff_id","staff_name","payment_amount","payment_date","rental_duration"
40,"2005-05-25","May      ",413,"Marvin Yee",1,1,"Berhampore (Baharampur)","India",579,"Minds Truman","Action",149,2638,1,1,"Mike Hillyer",0.00,NULL,3
41,"2005-05-25","May      ",174,"Yvonne Watkins",1,1,"Ocumare del Tuy","Venezuela",382,"Grit Clockwork","Games",137,1761,1,1,"Mike Hillyer",0.00,NULL,3
42,"2005-05-25","May      ",523,"Harvey Guajardo",1,1,"Vinh","Vietnam",84,"Boiled Dares","Travel",102,380,2,2,"Jon Stephens",0.00,NULL,7
43,"2005-05-25","May      ",532,"Neil Renner",1,1,"Cam Ranh","Vietnam",564,"Massage Image","Animation",161,2578,2,2,"Jon Stephens",0.00,NULL,4
44,"2005-05-25","May      ",207,"Gertrude Castillo",1,1,"Nuuk","Greenland",681,"Pirates Roxanne","Sports",100,3098,2,2,"Jon Stephens",0.00,NULL,4
45,"2005-05-25","May      ",436,"Troy Quigley",1,1,"Vancouver","Canada",403,"Harry Idaho","Drama",121,1853,2,2,"Jon Stephens",0.00,NULL,5
46,"2005-05-25","May      ",7,"Maria Miller",1,1,"Kragujevac","Yugoslavia",730,"Ridgemont Submarine","New",46,3318,2,2,"Jon Stephens",0.00,NULL,3
47,"2005-05-25","May      ",35,"Virginia Green",1,1,"Toulouse","France",478,"Jaws Harry","Comedy",112,2211,1,1,"Mike Hillyer",0.00,NULL,4
48,"2005-05-25","May      ",282,"Jenny Castro",1,1,"Ponce","Puerto Rico",387,"Gun Bonnie","Games",100,1780,1,1,"Mike Hillyer",0.00,NULL,7
49,"2005-05-25","May      ",498,"Gene Sanborn",1,1,"Salala","Oman",650,"Pacific Amistad","Documentary",144,2965,2,2,"Jon Stephens",0.00,NULL,3
50,"2005-05-25","May      ",18,"Carol Garcia",1,1,"Kaduna","Nigeria",432,"Hope Tootsie","Classics",139,1983,2,2,"Jon Stephens",0.00,NULL,4
51,"2005-05-25","May      ",256,"Mabel Holland",1,1,"Monywa","Myanmar",278,"Elf Murder","Music",155,1257,1,1,"Mike Hillyer",0.00,NULL,4
52,"2005-05-25","May      ",507,"Edgar Rhoads",1,1,"Eskisehir","Turkey",875,"Talented Homicide","Sports",173,4017,2,2,"Jon Stephens",0.00,NULL,6
53,"2005-05-25","May      ",569,"Dave Gardiner",1,1,"Leshan","China",277,"Elephant Trojan","Horror",126,1255,2,2,"Jon Stephens",0.00,NULL,4
54,"2005-05-25","May      ",291,"Toni Holt",1,1,"Roanoke","United States",611,"Musketeers Wait","Classics",73,2787,2,2,"Jon Stephens",0.00,NULL,7
55,"2005-05-25","May      ",131,"Monica Hicks",1,1,"Mukateve","Ukraine",252,"Dream Pickup","Action",135,1139,1,1,"Mike Hillyer",0.00,NULL,6
56,"2005-05-25","May      ",511,"Chester Benner",1,1,"Suihua","China",298,"Eyes Driving","Sci-Fi",172,1352,1,1,"Mike Hillyer",0.00,NULL,4
57,"2005-05-25","May      ",6,"Jennifer Davis",1,1,"Laredo","United States",858,"Submarine Bed","Comedy",127,3938,2,2,"Jon Stephens",0.00,NULL,5
58,"2005-05-25","May      ",323,"Matthew Mahan",1,1,"Cuautla","Mexico",670,"Pelican Comforts","Documentary",48,3050,1,1,"Mike Hillyer",0.00,NULL,4
59,"2005-05-25","May      ",408,"Manuel Murrell",1,1,"Jaffna","Sri Lanka",633,"October Submarine","Classics",54,2884,1,1,"Mike Hillyer",0.00,NULL,6
60,"2005-05-25","May      ",470,"Gordon Allard",1,1,"Hodeida","Yemen",73,"Bingo Talented","Sci-Fi",150,330,1,1,"Mike Hillyer",0.00,NULL,5
61,"2005-05-25","May      ",250,"Jo Fowler",1,1,"Oyo","Nigeria",915,"Truman Crazy","Action",92,4210,2,2,"Jon Stephens",0.00,NULL,7
62,"2005-05-25","May      ",419,"Chad Carbone",1,1,"Katihar","India",58,"Beach Heartbreakers","Documentary",122,261,1,1,"Mike Hillyer",0.00,NULL,6
63,"2005-05-25","May      ",383,"Martin Bales",1,1,"Namibe","Angola",873,"Sweethearts Suspects","Children",108,4008,1,1,"Mike Hillyer",0.00,NULL,3
64,"2005-05-25","May      ",368,"Harry Arce",1,0,"Najafabad","Iran",16,"Alley Evolution","Foreign",180,79,1,1,"Mike Hillyer",0.00,NULL,6
65,"2005-05-25","May      ",346,"Arthur Simpkins",1,1,"Maikop","Russian Federation",776,"Secret Groundhog","Documentary",90,3552,1,1,"Mike Hillyer",0.00,NULL,6
66,"2005-05-25","May      ",86,"Jacqueline Long",1,1,"Songkhla","Thailand",257,"Drumline Cyclone","Travel",110,1162,2,2,"Jon Stephens",0.00,NULL,3
67,"2005-05-25","May      ",119,"Sherry Marshall",1,1,"Shubra al-Khayma","Egypt",54,"Banger Pinocchio","Music",113,239,2,2,"Jon Stephens",0.00,NULL,5
68,"2005-05-25","May      ",120,"Sylvia Ortiz",1,1,"Dos Quebradas","Colombia",878,"Teen Apollo","Travel",74,4029,2,2,"Jon Stephens",0.00,NULL,3
69,"2005-05-25","May      ",305,"Richard Mccrary",1,1,"Arlington","United States",705,"Purple Movie","Foreign",88,3207,2,2,"Jon Stephens",0.00,NULL,4
70,"2005-05-25","May      ",73,"Beverly Brooks",1,1,"Chiayi","Taiwan",468,"Invasion Cyclone","Children",97,2168,2,2,"Jon Stephens",0.00,NULL,5
71,"2005-05-25","May      ",100,"Robin Hayes",1,1,"Jelets","Russian Federation",525,"Loathing Legally","Classics",140,2408,1,1,"Mike Hillyer",0.00,NULL,4
72,"2005-05-25","May      ",48,"Ann Evans",1,1,"Niznekamsk","Russian Federation",489,"Juggler Hardly","Animation",54,2260,2,2,"Jon Stephens",0.00,NULL,4
73,"2005-05-25","May      ",391,"Clarence Gamez",1,1,"Izumisano","Japan",114,"Camelot Vacation","Sci-Fi",61,517,2,2,"Jon Stephens",0.00,NULL,3
74,"2005-05-25","May      ",265,"Jennie Terry",1,1,"Olomouc","Czech Republic",379,"Greedy Roots","Drama",166,1744,2,2,"Jon Stephens",0.00,NULL,7
75,"2005-05-25","May      ",510,"Ben Easter",1,0,"Kamyin","Russian Federation",745,"Roses Treasure","Sports",162,3393,1,1,"Mike Hillyer",0.00,NULL,5
76,"2005-05-25","May      ",1,"Mary Smith",1,1,"Sasebo","Japan",663,"Patient Sister","Classics",99,3021,2,2,"Jon Stephens",0.00,NULL,7
77,"2005-05-25","May      ",451,"Jim Rea",1,1,"El Fuerte","Mexico",287,"Entrapment Satisfaction","Action",176,1303,2,2,"Jon Stephens",0.00,NULL,5
78,"2005-05-25","May      ",135,"Juanita Mason",1,1,"Pune","India",887,"Thief Pelican","Animation",135,4067,2,2,"Jon Stephens",0.00,NULL,5
79,"2005-05-25","May      ",245,"Courtney Day",1,1,"Uijongbu","South Korea",726,"Reservoir Adaptation","Foreign",61,3299,2,2,"Jon Stephens",0.00,NULL,7
80,"2005-05-25","May      ",314,"George Linton",1,1,"Sorocaba","Brazil",543,"Madigan Dorado","Travel",116,2478,2,2,"Jon Stephens",0.00,NULL,5
81,"2005-05-25","May      ",286,"Velma Lucas",1,1,"Effon-Alaiye","Nigeria",572,"Metropolis Coma","Sci-Fi",64,2610,2,2,"Jon Stephens",0.00,NULL,4
82,"2005-05-25","May      ",427,"Jesus Mccartney",1,1,"Guaruj","Brazil",304,"Fargo Gandhi","Children",130,1388,1,1,"Mike Hillyer",0.00,NULL,3
83,"2005-05-25","May      ",131,"Monica Hicks",1,1,"Mukateve","Ukraine",103,"Bucket Brotherhood","Travel",133,466,1,1,"Mike Hillyer",0.00,NULL,7
84,"2005-05-25","May      ",492,"Lester Kraus",1,1,"Kanchrapara","India",397,"Hanky October","Sci-Fi",107,1829,1,1,"Mike Hillyer",0.00,NULL,5
85,"2005-05-25","May      ",414,"Vincent Ralston",1,1,"Allende","Mexico",103,"Bucket Brotherhood","Travel",133,470,1,1,"Mike Hillyer",0.00,NULL,7
86,"2005-05-25","May      ",266,"Nora Herrera",1,1,"Salzburg","Austria",491,"Jumping Wrath","Children",74,2275,1,1,"Mike Hillyer",0.00,NULL,4
87,"2005-05-25","May      ",331,"Eric Robert",1,1,"Santa F","Argentina",348,"Gandhi Kwai","Family",86,1586,2,2,"Jon Stephens",0.00,NULL,7
88,"2005-05-25","May      ",53,"Heather Morris",1,1,"Nagareyama","Japan",480,"Jeepers Wedding","Classics",84,2221,2,2,"Jon Stephens",0.00,NULL,3
89,"2005-05-25","May      ",499,"Marc Outlaw",1,1,"Brindisi","Italy",471,"Island Exorcist","Classics",84,2181,1,1,"Mike Hillyer",0.00,NULL,7
90,"2005-05-25","May      ",25,"Deborah Walker",1,1,"Shikarpur","Pakistan",654,"Panky Submarine","Games",93,2984,1,1,"Mike Hillyer",0.00,NULL,4
91,"2005-05-25","May      ",267,"Margie Wade",1,1,"Lengshuijiang","China",28,"Anthem Luke","Comedy",91,139,1,1,"Mike Hillyer",0.00,NULL,5
92,"2005-05-25","May      ",302,"Michael Silverman",1,1,"Tiefa","China",169,"Comforts Rush","Travel",76,775,2,2,"Jon Stephens",0.00,NULL,3
93,"2005-05-25","May      ",288,"Bobbie Craig",1,1,"Valle de Santiago","Mexico",951,"Voyage Legally","Classics",78,4360,1,1,"Mike Hillyer",0.00,NULL,6
94,"2005-05-25","May      ",197,"Sue Peters",1,1,"Changzhou","China",366,"Goldfinger Sensibility","Drama",93,1675,1,1,"Mike Hillyer",0.00,NULL,3
95,"2005-05-25","May      ",400,"Bryan Hardison",1,1,"Dallas","United States",39,"Armageddon Lost","Sci-Fi",99,178,2,2,"Jon Stephens",0.00,NULL,5
96,"2005-05-25","May      ",49,"Joyce Edwards",1,1,"Jedda","Saudi Arabia",748,"Rugrats Shakespeare","Action",109,3418,2,2,"Jon Stephens",0.00,NULL,4
97,"2005-05-25","May      ",263,"Hilda Hopkins",1,1,"Mandaluyong","Philippines",284,"Enemy Odds","Music",77,1283,2,2,"Jon Stephens",0.00,NULL,5
98,"2005-05-25","May      ",269,"Cassandra Walters",1,1,"Salinas","United States",651,"Packer Madigan","Animation",84,2970,2,2,"Jon Stephens",0.00,NULL,3
99,"2005-05-25","May      ",44,"Marie Turner",1,1,"Lipetsk","Russian Federation",117,"Candles Grapes","Games",135,535,1,1,"Mike Hillyer",0.00,NULL,6
100,"2005-05-25","May      ",208,"Lucy Wheeler",1,1,"Balurghat","India",571,"Metal Armageddon","Documentary",161,2599,1,1,"Mike Hillyer",0.00,NULL,6
101,"2005-05-25","May      ",468,"Tim Cary",1,1,"Bijapur","India",134,"Champion Flatliners","Animation",51,617,1,1,"Mike Hillyer",0.00,NULL,4
102,"2005-05-25","May      ",343,"Douglas Graf",1,1,"Mexicali","Mexico",82,"Blood Argonauts","Family",71,373,1,1,"Mike Hillyer",0.00,NULL,3
103,"2005-05-25","May      ",384,"Ernest Stepp",1,1,"Huaian","China",735,"Robbers Joon","Children",102,3343,1,1,"Mike Hillyer",0.00,NULL,7
104,"2005-05-25","May      ",310,"Daniel Cabral",1,1,"Ibirit","Brazil",932,"Valley Packer","Comedy",73,4281,1,1,"Mike Hillyer",0.00,NULL,3
105,"2005-05-25","May      ",108,"Tracy Cole",1,1,"Huixquilucan","Mexico",173,"Confessions Maguire","Drama",65,794,2,2,"Jon Stephens",0.00,NULL,7
106,"2005-05-25","May      ",196,"Alma Austin",1,1,"Mannheim","Germany",791,"Show Lord","Documentary",167,3627,2,2,"Jon Stephens",0.00,NULL,3
107,"2005-05-25","May      ",317,"Edward Baugh",1,1,"Trshavn","Faroe Islands",621,"Network Peak","Family",75,2833,2,2,"Jon Stephens",0.00,NULL,5
108,"2005-05-25","May      ",242,"Glenda Frazier",1,1,"Qinhuangdao","China",724,"Remember Diary","Family",110,3289,1,1,"Mike Hillyer",0.00,NULL,5
109,"2005-05-25","May      ",503,"Angel Barclay",1,1,"Ueda","Japan",233,"Disciple Mother","Travel",141,1044,2,2,"Jon Stephens",0.00,NULL,3
110,"2005-05-25","May      ",19,"Ruth Martinez",1,1,"Kimberley","South Africa",893,"Titans Jerk","Sci-Fi",91,4108,2,2,"Jon Stephens",0.00,NULL,4
111,"2005-05-25","May      ",227,"Colleen Burton",1,1,"Saarbrcken","Germany",814,"Snatch Slipper","Comedy",110,3725,1,1,"Mike Hillyer",0.00,NULL,6
112,"2005-05-25","May      ",500,"Reginald Kinder",1,1,"Madiun","Indonesia",465,"Interview Liaisons","New",59,2153,1,1,"Mike Hillyer",0.00,NULL,4
113,"2005-05-25","May      ",93,"Phyllis Foster",1,1,"Zalantun","China",649,"Oz Liaisons","Animation",85,2963,2,2,"Jon Stephens",0.00,NULL,4
114,"2005-05-25","May      ",506,"Leslie Seward",1,1,"Pontianak","Indonesia",982,"Women Dorado","Action",126,4502,1,1,"Mike Hillyer",0.00,NULL,4
115,"2005-05-25","May      ",455,"Jon Wiles",1,1,"El Alto","Bolivia",164,"Coast Rainbow","Documentary",55,749,1,1,"Mike Hillyer",0.00,NULL,4
116,"2005-05-25","May      ",18,"Carol Garcia",1,1,"Kaduna","Nigeria",973,"Wife Turn","Documentary",183,4453,1,1,"Mike Hillyer",0.00,NULL,3
117,"2005-05-25","May      ",7,"Maria Miller",1,1,"Kragujevac","Yugoslavia",931,"Valentine Vanishing","Travel",48,4278,2,2,"Jon Stephens",0.00,NULL,7
118,"2005-05-25","May      ",524,"Jared Ely",1,1,"Purwakarta","Indonesia",191,"Crooked Frogmen","Children",143,872,1,1,"Mike Hillyer",0.00,NULL,6
119,"2005-05-25","May      ",51,"Alice Stewart",1,1,"Fontana","United States",300,"Falcon Volume","Animation",102,1359,2,2,"Jon Stephens",0.00,NULL,5
120,"2005-05-25","May      ",365,"Bruce Schwarz",1,1,"Okinawa","Japan",8,"Airport Pollock","Horror",54,37,2,2,"Jon Stephens",0.00,NULL,6
121,"2005-05-25","May      ",405,"Leonard Schofield",1,1,"Tandil","Argentina",234,"Disturbing Scarface","Sci-Fi",94,1053,1,1,"Mike Hillyer",0.00,NULL,6
122,"2005-05-25","May      ",273,"Priscilla Lowe",1,1,"Salamanca","Mexico",638,"Operation Operation","Comedy",156,2908,1,1,"Mike Hillyer",0.00,NULL,7
123,"2005-05-25","May      ",43,"Christine Roberts",1,1,"Faaa","French Polynesia",390,"Guys Falcon","Sci-Fi",84,1795,1,1,"Mike Hillyer",0.00,NULL,4
124,"2005-05-25","May      ",246,"Marian Mendoza",1,1,"Maring","Brazil",48,"Backlash Undefeated","Children",118,212,2,2,"Jon Stephens",0.00,NULL,3
125,"2005-05-25","May      ",368,"Harry Arce",1,0,"Najafabad","Iran",212,"Darn Forrester","Action",185,952,1,1,"Mike Hillyer",0.00,NULL,7
126,"2005-05-25","May      ",439,"Alexander Fennell",1,1,"Bergamo","Italy",445,"Hyde Doctor","Classics",100,2047,1,1,"Mike Hillyer",0.00,NULL,5
127,"2005-05-25","May      ",94,"Norma Gonzales",1,1,"Bislig","Philippines",440,"Hunger Roof","Foreign",105,2026,1,1,"Mike Hillyer",0.00,NULL,6
128,"2005-05-25","May      ",40,"Amanda Carter",1,1,"Nador","Morocco",941,"Videotape Arsenic","Games",145,4322,1,1,"Mike Hillyer",0.00,NULL,4
129,"2005-05-25","May      ",23,"Sarah Lewis",1,1,"Liepaja","Latvia",902,"Trading Pinocchio","Sports",170,4154,2,2,"Jon Stephens",0.00,NULL,6
130,"2005-05-25","May      ",56,"Gloria Cook",1,1,"Papeete","French Polynesia",869,"Suspects Quills","Action",47,3990,2,2,"Jon Stephens",0.00,NULL,4
131,"2005-05-25","May      ",325,"Timothy Bunn",1,1,"Braslia","Brazil",177,"Connecticut Tramp","Sci-Fi",172,815,2,2,"Jon Stephens",0.00,NULL,4
132,"2005-05-25","May      ",479,"Zachary Hite",1,1,"Akron","United States",738,"Rocketeer Mother","Foreign",178,3367,1,1,"Mike Hillyer",0.00,NULL,3
133,"2005-05-25","May      ",237,"Tanya Gilbert",1,1,"Naju","South Korea",89,"Borrowers Bedazzled","Animation",63,399,2,2,"Jon Stephens",0.00,NULL,7
134,"2005-05-25","May      ",222,"Delores Hansen",1,1,"Jaroslavl","Russian Federation",491,"Jumping Wrath","Children",74,2272,1,1,"Mike Hillyer",0.00,NULL,4
135,"2005-05-25","May      ",304,"David Royal",1,1,"Callao","Peru",21,"American Circus","Action",129,103,1,1,"Mike Hillyer",0.00,NULL,3
136,"2005-05-25","May      ",504,"Nathaniel Adam",1,1,"Joliet","United States",500,"Kiss Glory","Foreign",163,2296,1,1,"Mike Hillyer",0.00,NULL,5
137,"2005-05-25","May      ",560,"Jordan Archuleta",1,1,"Avellaneda","Argentina",569,"Menagerie Rushmore","Animation",147,2591,2,2,"Jon Stephens",0.00,NULL,7
138,"2005-05-25","May      ",586,"Kirk Stclair",1,1,"Tsaotun","Taiwan",898,"Tourist Pelican","Sports",152,4134,2,2,"Jon Stephens",0.00,NULL,4
139,"2005-05-25","May      ",257,"Marsha Douglas",1,1,"Beira","Mozambique",73,"Bingo Talented","Sci-Fi",150,327,1,1,"Mike Hillyer",0.00,NULL,5
140,"2005-05-25","May      ",354,"Justin Ngo",1,1,"Santo Andr","Brazil",142,"Chicken Hellfighters","Documentary",122,655,1,1,"Mike Hillyer",0.00,NULL,3
141,"2005-05-25","May      ",89,"Julia Flores",1,1,"La Plata","Argentina",176,"Congeniality Quest","Sports",87,811,1,1,"Mike Hillyer",0.00,NULL,6
142,"2005-05-25","May      ",472,"Greg Robins",1,1,"Nam Dinh","Vietnam",963,"Watch Tracy","Animation",78,4407,2,2,"Jon Stephens",0.00,NULL,5
143,"2005-05-25","May      ",297,"Sherri Rhodes",1,1,"Ahmadnagar","India",186,"Craft Outfield","Drama",64,847,2,2,"Jon Stephens",0.00,NULL,6
144,"2005-05-25","May      ",357,"Keith Rico",1,1,"Bratislava","Slovakia",368,"Gone Trouble","Drama",84,1689,2,2,"Jon Stephens",0.00,NULL,7
145,"2005-05-25","May      ",82,"Kathryn Coleman",1,1,"Simferopol","Ukraine",852,"Strangelove Desire","Children",103,3905,1,1,"Mike Hillyer",0.00,NULL,4
146,"2005-05-26","May      ",433,"Don Bone",1,1,"Naala-Porto","Mozambique",313,"Fidelity Devil","Horror",118,1431,2,2,"Jon Stephens",0.00,NULL,5
147,"2005-05-26","May      ",274,"Naomi Jennings",1,1,"Karnal","India",138,"Chariots Conspiracy","Sci-Fi",71,633,2,2,"Jon Stephens",0.00,NULL,5
148,"2005-05-26","May      ",142,"April Burns",1,1,"Dundee","United Kingdom",924,"Unforgiven Zoolander","Sci-Fi",129,4252,2,2,"Jon Stephens",0.00,NULL,7
149,"2005-05-26","May      ",319,"Ronald Weiner",1,1,"San Felipe del Progreso","Mexico",242,"Doom Dancing","Comedy",68,1084,2,2,"Jon Stephens",0.00,NULL,4
150,"2005-05-26","May      ",429,"Frederick Isbell",1,1,"Tsuyama","Japan",202,"Daddy Pittsburgh","Comedy",161,909,2,2,"Jon Stephens",0.00,NULL,5
151,"2005-05-26","May      ",14,"Betty White",1,1,"Citrus Heights","United States",646,"Outbreak Divine","Games",169,2942,1,1,"Mike Hillyer",0.00,NULL,6
152,"2005-05-26","May      ",57,"Evelyn Morgan",1,1,"Vaduz","Liechtenstein",575,"Midsummer Groundhog","Documentary",48,2622,1,1,"Mike Hillyer",0.00,NULL,3
153,"2005-05-26","May      ",348,"Roger Quintanilla",1,1,"Hsichuh","Taiwan",849,"Storm Happiness","Animation",57,3888,1,1,"Mike Hillyer",0.00,NULL,6
154,"2005-05-26","May      ",185,"Roberta Harper",1,1,"Shahr-e Kord","Iran",299,"Factory Dragon","Travel",144,1354,2,2,"Jon Stephens",0.00,NULL,4
155,"2005-05-26","May      ",551,"Clayton Barbee",1,1,"Alvorada","Brazil",65,"Behavior Runaway","Horror",100,288,1,1,"Mike Hillyer",0.00,NULL,3
156,"2005-05-26","May      ",462,"Warren Sherrod",1,1,"Usolje-Sibirskoje","Russian Federation",702,"Pulp Beverly","Horror",89,3193,1,1,"Mike Hillyer",0.00,NULL,4
157,"2005-05-26","May      ",344,"Henry Billingsley",1,1,"Nukualofa","Tonga",197,"Crusade Honey","Sports",112,887,2,2,"Jon Stephens",0.00,NULL,4
158,"2005-05-26","May      ",354,"Justin Ngo",1,1,"Santo Andr","Brazil",523,"Lights Deer","Classics",174,2395,2,2,"Jon Stephens",0.00,NULL,7
159,"2005-05-26","May      ",505,"Rafael Abney",1,1,"Talavera","Philippines",757,"Sagebrush Clueless","Documentary",106,3453,1,1,"Mike Hillyer",0.00,NULL,4
160,"2005-05-26","May      ",290,"Kristina Chambers",1,1,"Valle de la Pascua","Venezuela",410,"Heaven Freedom","Comedy",48,1885,1,1,"Mike Hillyer",0.00,NULL,7
